Radius,Mass,Period,SemiMajorAxis,EqTemp,Density,StarTemp,StarLum,StarMet,Insolation,Target_Habitable,Habitability_Score,Log_Period,Star_Type_G,Star_Type_K,Star_Type_M,Star_Type_Other
2.43,206.5895,1634.0,2.36,912.0,1.527272,4550.0,-0.8041,-0.35,62.3,0,0.11795592207881407,7.399398083331354,False,False,False,True
2.43,15.37,74.2,0.3,912.0,1.527272,4550.0,-0.8041,-0.35,62.3,0,0.11795592207881407,4.320151230955794,False,False,False,True
2.43,3108.3774,714.29999,1.66,912.0,1.527272,4545.0,-0.10297,-0.08,62.3,0,0.11795592207881407,6.57270202113419,False,False,False,True
21.59,3932.0,4.2889731,0.0656,2001.0,2.15,6935.0,1.06,-0.34,62.3,0,0.0008704253847801806,1.6656241060433046,False,False,False,True
2.43,1639.99458012,655.57,0.115,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,6.487029314105918,False,False,False,True
2.43,214.0,1891.0,2.63,912.0,1.527272,4051.0,-0.86967,0.12,0.02,0,0.24305962169594722,7.545389749611823,False,True,False,False
2.43,1525.5763536,6240.0,5.9,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,8.738895704934043,False,True,False,False
2.43,177.34825111,547.0,1.444,912.0,1.527272,6033.0,-0.10297,-0.02,62.3,0,0.11795592207881407,6.306275286948016,False,False,False,True
2.43,8358.8871041,1823.5,3.634,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,7.509061255876502,True,False,False,False
2.43,0.299,3.1542,0.0229,438.0,1.527272,3195.0,-2.44977,-0.56,62.3,0,0.2777780809324632,1.424119870659871,False,False,True,False
2.43,0.335,4.1244,0.0274,400.0,1.527272,3195.0,-2.44977,-0.56,62.3,0,0.30570616674973494,1.6340134450001416,False,False,True,False
2.43,0.263,2.3402,0.0188,483.0,1.527272,3195.0,-2.44977,-0.56,62.3,0,0.24913523482720001,1.20603068543538,False,False,True,False
2.43,0.193,6.7392,0.0381,340.0,1.527272,3195.0,-2.44977,-0.56,62.3,0,0.35803840784151464,2.0462983230865817,False,False,True,False
2.43,3.95,2.2907,0.0185,464.0,1.527272,3130.0,-2.53254,0.13,8.6,0,0.260852284947139,1.1911003081032612,False,False,True,False
17.37392009,9375.9380065,11.12522242,67.0,912.0,1.527272,3689.0,-0.10297,-0.16,62.3,0,0.03818630714015891,2.495287780572825,False,False,True,False
2.43,3337.1,10037.5,2.6,370.0,1.527272,580.5,-0.10297,0.02,62.3,0,0.3305106994757138,9.214182979693634,False,False,False,True
20.8487041,2479.0615746,8040000.0,200.0,1800.0,1.527272,2320.0,-2.85,0.02,62.3,0,0.0017491735990018567,15.89993976553325,False,False,True,False
2.43,3994.486,11.12522242,210.0,912.0,1.527272,5550.0,-0.10297,0.02,62.3,0,0.11795592207881407,2.495287780572825,False,False,True,False
